e2e	e2e/acompanhamento-contratos/ciclo-correcao-reenvio.spec.js:242	Ciclo de retorno da SC: reprovação → Correção → reenvio (CT-CMP-08-H) › CT-CMP-08-H @destrutivo @bug — reprovada e corrigida, a SC deveria voltar para a Validação do Gestor com o contrato de origem íntegro
e2e	e2e/acompanhamento-contratos/ciclo-gestor.spec.js:36	A SC criada nasce no estado e no dono corretos (CT-E2E-01-H) › @destrutivo @bug estado inicial e responsável deveriam refletir uma etapa de trabalho do solicitante
e2e	e2e/acompanhamento-contratos/ciclo-gestor.spec.js:109	Gestor Imediato assume do pool e aprova (CT-E2E-02-H) › @destrutivo @bug aprovada pelo Gestor Imediato, a SC deveria avançar para Validação Orçamentária
e2e	e2e/acompanhamento-contratos/ciclo-gestor.spec.js:155	Gestor Imediato reprova com justificativa (CT-E2E-02-S1) › @destrutivo @bug reprovada, a SC deveria voltar para Ajustar Informações com o solicitante, itens e contrato íntegros
e2e	e2e/acompanhamento-contratos/criacao-solicitacao.spec.js:112	Confirmar cria a SC e ela deveria chegar ao solicitante (CT-ACC-05-H / D-01) › @destrutivo @bug a SC deveria nascer atribuída ao solicitante logado, não à conta de integração
e2e	e2e/acompanhamento-contratos/criacao-solicitacao.spec.js:224	Item sem quantidade e sem valor no contrato não pode virar item da SC (CT-ACC-06-S1) › @destrutivo @bug item de quantidade/valor zerado no contrato não deveria virar item extra na SC criada
e2e	e2e/acompanhamento-contratos/criacao-solicitacao.spec.js:292	Bypass da validação de cliente no start direto (CT-ACC-04-S6 / D-10) › @destrutivo @bug o servidor deveria recusar tipoSolicitacao vazio tanto quanto recusa motivoSolCompra vazio
e2e	e2e/acompanhamento-contratos/criacao-solicitacao.spec.js:422	Segunda SC para o mesmo contrato/revisão sem alerta de duplicidade (CT-E2E-12-S1) › @destrutivo @bug o portal deveria alertar sobre a SC já em andamento para o mesmo contrato/revisão
e2e	e2e/compras/aprovacoes-solicitacao-compras.spec.js:317	Validação do Gestor Imediato (Tarefas em pool) › @destrutivo deve assumir e aprovar uma tarefa do pool do Gestor Imediato
e2e	e2e/compras/aprovacoes-solicitacao-compras.spec.js:358	Validação do Gestor Imediato (Tarefas em pool) › @destrutivo deve assumir e reprovar uma tarefa do pool do Gestor Imediato com justificativa
e2e	e2e/compras/aprovacoes-solicitacao-compras.spec.js:401	Validação do Gestor Imediato (Tarefas em pool) › @destrutivo deve sinalizar explicitamente quando não há aprovador habilitado para a próxima etapa
e2e	e2e/compras/aprovacoes-solicitacao-compras.spec.js:498	Etapas designadas nominalmente (verificação de alcançabilidade) › @destrutivo deve assumir e movimentar uma tarefa do pool de Validação dos Compradores quando disponível
